ComputerTime,FixType,Latitude (dd),Longitude (dd),Satellites,Altitude (m),HDOP,Course (°True N),Speed (km/h),UTCDate,UTCTime
2024-01-17T12:09:13.548,2,42.29956,-71.351735,7,66.4,1.71,239.71,0.33336,17-Jan-2024,17:09:13
2024-01-17T12:09:14.603,2,42.29956,-71.3517366666667,7,66.4,1.71,258.19,0.463,17-Jan-2024,17:09:14
2024-01-17T12:09:15.551,2,42.2995583333333,-71.3517383333333,7,66.4,1.71,234.36,0.61116,17-Jan-2024,17:09:15
2024-01-17T12:09:16.557,2,42.2995583333333,-71.3517383333333,7,66.4,1.71,222.04,0.25928,17-Jan-2024,17:09:16
2024-01-17T12:09:17.766,2,42.2995583333333,-71.3517383333333,7,66.4,1.71,356.19,0.33336,17-Jan-2024,17:09:17
2024-01-17T12:09:18.602,2,42.2995583333333,-71.3517383333333,7,66.4,1.71,1.52,0.11112,17-Jan-2024,17:09:18
2024-01-17T12:09:19.621,2,42.2995583333333,-71.3517383333333,7,66.4,1.71,169.99,0.12964,17-Jan-2024,17:09:19
2024-01-17T12:09:20.547,2,42.2995583333333,-71.3517383333333,7,66.4,1.71,189.38,0.3704,17-Jan-2024,17:09:20
2024-01-17T12:09:21.547,2,42.2995583333333,-71.35174,7,66.4,1.71,201.86,0.11112,17-Jan-2024,17:09:21
2024-01-17T12:09:22.754,2,42.2995566666667,-71.35174,7,66.4,1.71,136.53,0.31484,17-Jan-2024,17:09:22
2024-01-17T12:09:23.609,2,42.2995566666667,-71.3517383333333,7,66.4,1.71,314.59,0.05556,17-Jan-2024,17:09:23
2024-01-17T12:09:24.576,2,42.2995566666667,-71.35174,7,66.4,1.71,340.06,0.59264,17-Jan-2024,17:09:24
2024-01-17T12:09:25.604,2,42.2995583333333,-71.35174,7,66.4,1.71,20.49,0.90748,17-Jan-2024,17:09:25
2024-01-17T12:09:26.599,2,42.29956,-71.3517383333333,7,66.4,1.71,351.07,1.03712,17-Jan-2024,17:09:26
2024-01-17T12:09:27.759,2,42.2995633333333,-71.35174,7,66.4,1.71,340.25,1.61124,17-Jan-2024,17:09:27
2024-01-17T12:09:28.606,2,42.29957,-71.3517433333333,7,66.6,1.7,352.87,1.44456,17-Jan-2024,17:09:28
2024-01-17T12:09:29.574,2,42.29958,-71.3517433333333,7,66.6,1.71,359.47,1.68532,17-Jan-2024,17:09:29
2024-01-17T12:09:30.565,2,42.2995833333333,-71.351745,7,66.5,1.71,357.92,1.61124,17-Jan-2024,17:09:30
2024-01-17T12:09:31.631,2,42.2995916666667,-71.351745,7,66.5,1.71,349.11,1.68532,17-Jan-2024,17:09:31
2024-01-17T12:09:32.788,2,42.2995966666667,-71.3517466666667,7,66.4,1.71,345.39,1.7594,17-Jan-2024,17:09:32
2024-01-17T12:09:33.550,2,42.2996,-71.35175,7,66.4,1.71,332.69,1.42604,17-Jan-2024,17:09:33
2024-01-17T12:09:34.537,2,42.299605,-71.3517516666667,7,66.4,1.7,323.77,1.40752,17-Jan-2024,17:09:34
2024-01-17T12:09:35.616,2,42.299605,-71.35175,7,66.3,1.7,322.26,0.7408,17-Jan-2024,17:09:35
2024-01-17T12:09:36.553,2,42.2996133333333,-71.3517466666667,7,66.3,1.7,338.94,0.77784,17-Jan-2024,17:09:36
2024-01-17T12:09:37.773,2,42.2996183333333,-71.3517483333333,7,66.7,1.7,341.13,0.5556,17-Jan-2024,17:09:37
2024-01-17T12:09:38.535,2,42.2996283333333,-71.351745,7,67,1.7,18.57,0.463,17-Jan-2024,17:09:38
2024-01-17T12:09:39.609,2,42.2996283333333,-71.3517433333333,6,66.9,1.77,54,0.3704,17-Jan-2024,17:09:39
2024-01-17T12:09:40.620,2,42.29963,-71.3517433333333,7,66.9,1.7,30.49,0.31484,17-Jan-2024,17:09:40
2024-01-17T12:09:41.526,2,42.29963,-71.3517416666667,7,66.9,1.7,151.6,0.0926,17-Jan-2024,17:09:41
2024-01-17T12:09:42.759,2,42.29963,-71.3517416666667,7,66.9,1.7,329.63,0.68524,17-Jan-2024,17:09:42
2024-01-17T12:09:43.564,2,42.2996316666667,-71.3517433333333,7,66.9,1.7,67.79,0.53708,17-Jan-2024,17:09:43
2024-01-17T12:09:44.589,2,42.2996333333333,-71.3517416666667,7,66.9,1.7,356.68,0.61116,17-Jan-2024,17:09:44
2024-01-17T12:09:45.508,2,42.299635,-71.3517416666667,7,66.9,1.7,37.28,0.44448,17-Jan-2024,17:09:45
2024-01-17T12:09:46.551,2,42.299635,-71.35174,7,66.9,1.7,43.59,0.90748,17-Jan-2024,17:09:46
2024-01-17T12:09:47.754,2,42.2996383333333,-71.3517383333333,6,66.9,1.77,352.01,2.81504,17-Jan-2024,17:09:47
2024-01-17T12:09:48.592,2,42.2996433333333,-71.3517416666667,6,66.8,1.85,344.83,2.57428,17-Jan-2024,17:09:48
2024-01-17T12:09:49.602,2,42.2996633333333,-71.3517333333333,7,66.9,1.7,2.54,2.38908,17-Jan-2024,17:09:49
2024-01-17T12:09:50.549,2,42.29967,-71.3517416666667,7,67.2,1.7,7.09,2.01868,17-Jan-2024,17:09:50
2024-01-17T12:09:51.554,2,42.29968,-71.3517416666667,7,67.3,1.7,24.4,2.09276,17-Jan-2024,17:09:51
2024-01-17T12:09:52.816,2,42.2996933333333,-71.35175,6,67.5,1.76,357.24,2.66688,17-Jan-2024,17:09:52
2024-01-17T12:09:53.548,2,42.2996983333333,-71.3517633333333,6,67.7,1.85,359.36,2.315,17-Jan-2024,17:09:53
2024-01-17T12:09:54.566,2,42.2997066666667,-71.35177,7,67.8,1.7,7.03,2.37056,17-Jan-2024,17:09:54
2024-01-17T12:09:55.540,2,42.2997083333333,-71.351785,6,67.9,1.85,349.19,2.5002,17-Jan-2024,17:09:55
2024-01-17T12:09:56.612,2,42.2997116666667,-71.3518033333333,7,68.2,1.7,346.5,2.44464,17-Jan-2024,17:09:56
2024-01-17T12:09:57.757,2,42.2997033333333,-71.3518216666667,6,68.3,1.85,357.99,1.59272,17-Jan-2024,17:09:57
2024-01-17T12:09:58.543,2,42.299705,-71.3518283333333,7,68.3,1.7,5.87,1.2964,17-Jan-2024,17:09:58
2024-01-17T12:09:59.563,2,42.29971,-71.3518366666667,7,68.4,1.7,16.53,1.44456,17-Jan-2024,17:09:59
2024-01-17T12:10:00.536,2,42.29972,-71.3518616666667,6,69,1.76,28.46,1.72236,17-Jan-2024,17:10:00
2024-01-17T12:10:01.563,2,42.2997183333333,-71.351875,6,69.1,1.76,22.78,1.33344,17-Jan-2024,17:10:01
2024-01-17T12:10:02.812,2,42.2997066666667,-71.3518933333333,6,69.1,1.76,38.3,0.6482,17-Jan-2024,17:10:02
2024-01-17T12:10:03.594,2,42.299705,-71.3519016666667,6,69.5,1.76,29.49,0.50004,17-Jan-2024,17:10:03
2024-01-17T12:10:04.554,2,42.2996933333333,-71.351925,7,69.7,1.69,76.93,0.35188,17-Jan-2024,17:10:04
2024-01-17T12:10:05.610,2,42.29969,-71.3519366666667,7,70,1.69,126.91,0.29632,17-Jan-2024,17:10:05
2024-01-17T12:10:06.572,2,42.29969,-71.351935,6,69.9,1.76,226.14,0.22224,17-Jan-2024,17:10:06
2024-01-17T12:10:07.768,2,42.29969,-71.3519366666667,7,69.9,1.69,210.97,0.24076,17-Jan-2024,17:10:07
2024-01-17T12:10:08.603,2,42.2996883333333,-71.3519366666667,7,69.9,1.69,138.32,0.35188,17-Jan-2024,17:10:08
2024-01-17T12:10:09.608,2,42.2996883333333,-71.3519366666667,7,69.8,1.69,94.05,0.51856,17-Jan-2024,17:10:09
2024-01-17T12:10:10.613,2,42.2996883333333,-71.351935,7,69.8,1.69,95.4,0.31484,17-Jan-2024,17:10:10
2024-01-17T12:10:11.556,2,42.2996883333333,-71.3519333333333,7,69.8,1.69,193.66,0.79636,17-Jan-2024,17:10:11
2024-01-17T12:10:12.761,2,42.2996866666667,-71.351935,7,69.8,1.69,184.11,0.61116,17-Jan-2024,17:10:12
2024-01-17T12:10:13.603,2,42.299685,-71.351935,7,69.8,1.69,164.66,0.5556,17-Jan-2024,17:10:13
2024-01-17T12:10:14.549,2,42.2996833333333,-71.351935,7,69.8,1.69,129.83,0.85192,17-Jan-2024,17:10:14
2024-01-17T12:10:15.537,2,42.2996816666667,-71.3519333333333,7,69.8,1.69,143.46,0.926,17-Jan-2024,17:10:15
